id,0,1,2,3,labels
0,6.3,2.9,5.6,1.8,Iris-virginica
1,5.6,3,4.5,1.5,Iris-versicolor
2,7.9,3.8,6.4,2,Iris-virginica
3,6.5,2.8,4.6,1.5,Iris-versicolor
4,5,2,3.5,1,Iris-versicolor
5,5,3.6,1.4,0.2,Iris-setosa
6,5.5,2.5,4,1.3,Iris-versicolor
7,7.7,3,6.1,2.3,Iris-virginica
8,4.8,3.4,1.6,0.2,Iris-setosa
9,5.1,3.5,1.4,0.2,Iris-setosa
10,6,2.7,5.1,1.6,Iris-versicolor
11,6.7,3.1,4.4,1.4,Iris-versicolor
12,6.7,3,5,1.7,Iris-versicolor
13,5.5,2.6,4.4,1.2,Iris-versicolor
14,5.2,3.5,1.5,0.2,Iris-setosa
15,7.2,3,5.8,1.6,Iris-virginica
16,6.6,3,4.4,1.4,Iris-versicolor
17,7.1,3,5.9,2.1,Iris-virginica
18,5.6,2.7,4.2,1.3,Iris-versicolor
19,5.4,3,4.5,1.5,Iris-versicolor
20,4.9,3,1.4,0.2,Iris-setosa
21,5.1,3.5,1.4,0.3,Iris-setosa
22,5,2.3,3.3,1,Iris-versicolor
23,5.2,3.4,1.4,0.2,Iris-setosa
24,6.4,2.8,5.6,2.1,Iris-virginica
25,5.9,3,5.1,1.8,Iris-virginica
26,5.3,3.7,1.5,0.2,Iris-setosa
27,5,3.5,1.6,0.6,Iris-setosa
28,5,3.5,1.3,0.3,Iris-setosa
29,5.8,4,1.2,0.2,Iris-setosa
30,5.1,3.8,1.6,0.2,Iris-setosa
31,5.4,3.7,1.5,0.2,Iris-setosa
32,4.4,2.9,1.4,0.2,Iris-setosa
33,5.5,2.3,4,1.3,Iris-versicolor
34,5.1,2.5,3,1.1,Iris-versicolor
35,4.9,3.1,1.5,0.1,Iris-setosa
36,6.3,3.3,4.7,1.6,Iris-versicolor
37,5.7,2.8,4.1,1.3,Iris-versicolor
38,4.9,2.4,3.3,1,Iris-versicolor
39,6.9,3.2,5.7,2.3,Iris-virginica
40,4.9,3.1,1.5,0.1,Iris-setosa
41,7.3,2.9,6.3,1.8,Iris-virginica
42,4.8,3.4,1.9,0.2,Iris-setosa
43,6.6,2.9,4.6,1.3,Iris-versicolor
44,5,3.3,1.4,0.2,Iris-setosa
45,6.1,3,4.6,1.4,Iris-versicolor
46,6.5,3.2,5.1,2,Iris-virginica
47,6.8,3.2,5.9,2.3,Iris-virginica
48,5.5,3.5,1.3,0.2,Iris-setosa
49,6.7,3.3,5.7,2.1,Iris-virginica
50,7.7,2.8,6.7,2,Iris-virginica
51,6.9,3.1,5.1,2.3,Iris-virginica
52,6.4,3.2,5.3,2.3,Iris-virginica
53,7.2,3.2,6,1.8,Iris-virginica
54,5.6,2.8,4.9,2,Iris-virginica
55,5.1,3.8,1.5,0.3,Iris-setosa
56,6.5,3,5.5,1.8,Iris-virginica
57,5.5,4.2,1.4,0.2,Iris-setosa
58,6.7,3.3,5.7,2.5,Iris-virginica
59,7.7,3.8,6.7,2.2,Iris-virginica
60,5.7,2.9,4.2,1.3,Iris-versicolor
61,6,2.2,4,1,Iris-versicolor
62,6.1,3,4.9,1.8,Iris-virginica
63,6.7,3.1,4.7,1.5,Iris-versicolor
64,6.3,2.3,4.4,1.3,Iris-versicolor
65,7,3.2,4.7,1.4,Iris-versicolor
66,5.6,2.5,3.9,1.1,Iris-versicolor
67,5.5,2.4,3.7,1,Iris-versicolor
68,6.8,2.8,4.8,1.4,Iris-versicolor
69,4.9,3.1,1.5,0.1,Iris-setosa
70,4.6,3.6,1,0.2,Iris-setosa
71,5.7,2.8,4.5,1.3,Iris-versicolor
72,5.7,2.6,3.5,1,Iris-versicolor
73,5.1,3.4,1.5,0.2,Iris-setosa
74,5.1,3.7,1.5,0.4,Iris-setosa
75,4.6,3.4,1.4,0.3,Iris-setosa
76,5.5,2.4,3.8,1.1,Iris-versicolor
77,5.7,3.8,1.7,0.3,Iris-setosa
78,5.2,2.7,3.9,1.4,Iris-versicolor
79,6.8,3,5.5,2.1,Iris-virginica
80,5,3.2,1.2,0.2,Iris-setosa
81,6.4,3.1,5.5,1.8,Iris-virginica
82,5.7,3,4.2,1.2,Iris-versicolor
83,6.3,2.7,4.9,1.8,Iris-virginica
84,5.7,2.5,5,2,Iris-virginica
85,6.2,2.2,4.5,1.5,Iris-versicolor
86,5.7,4.4,1.5,0.4,Iris-setosa
87,4.8,3.1,1.6,0.2,Iris-setosa
88,6.3,3.3,6,2.5,Iris-virginica
89,6.2,2.9,4.3,1.3,Iris-versicolor
90,6,2.2,5,1.5,Iris-virginica
91,6.3,2.5,5,1.9,Iris-virginica
92,7.7,2.6,6.9,2.3,Iris-virginica
93,6.7,3,5.2,2.3,Iris-virginica
94,4.4,3,1.3,0.2,Iris-setosa
95,5.6,3,4.1,1.3,Iris-versicolor
96,5.1,3.3,1.7,0.5,Iris-setosa
97,5.8,2.7,5.1,1.9,Iris-virginica
98,5.8,2.7,4.1,1,Iris-versicolor
99,7.4,2.8,6.1,1.9,Iris-virginica
100,6.9,3.1,4.9,1.5,Iris-versicolor
101,7.6,3,6.6,2.1,Iris-virginica
102,5.1,3.8,1.9,0.4,Iris-setosa
103,5.2,4.1,1.5,0.1,Iris-setosa
104,5,3,1.6,0.2,Iris-setosa
105,6.5,3,5.2,2,Iris-virginica
106,6,2.9,4.5,1.5,Iris-versicolor
107,4.7,3.2,1.6,0.2,Iris-setosa
108,6.4,2.7,5.3,1.9,Iris-virginica
109,5.4,3.4,1.5,0.4,Iris-setosa
